Variable,Date,Value,Unit
Electrical_Conductivity_20degC,13/08/20,7011,µS/cm
Nitrate,13/08/20,144.4,mg/l NO3
Phosphate,13/08/20,0.13,mg PO4/L
Electrical_Conductivity_20degC,19/08/20,7040,µS/cm
Nitrate,19/08/20,136,mg/l NO3
Phosphate,19/08/20,0,mg PO4/L
Electrical_Conductivity_20degC,01/09/20,6470,µS/cm
Nitrate,01/09/20,115,mg/l NO3
Phosphate,01/09/20,0,mg PO4/L
Electrical_Conductivity_20degC,02/09/20,7243,µS/cm
Nitrate,02/09/20,161,mg/l NO3
Phosphate,02/09/20,0.09,mg PO4/L
Electrical_Conductivity_20degC,14/09/20,6950,µS/cm
Nitrate,14/09/20,149,mg/l NO3
Phosphate,14/09/20,0,mg PO4/L
Electrical_Conductivity_20degC,28/09/20,7720,µS/cm
Nitrate,28/09/20,243,mg/l NO3
Phosphate,28/09/20,0,mg PO4/L
Electrical_Conductivity_20degC,14/10/20,7140,µS/cm
Nitrate,14/10/20,163,mg/l NO3
Phosphate,14/10/20,0,mg PO4/L
Electrical_Conductivity_20degC,21/10/20,7033,µS/cm
Nitrate,21/10/20,90,mg/l NO3
Phosphate,21/10/20,0.17,mg PO4/L
Electrical_Conductivity_20degC,26/10/20,11980,µS/cm
Phosphate,26/10/20,0,mg PO4/L
Electrical_Conductivity_20degC,09/11/20,7590,µS/cm
Nitrate,09/11/20,185,mg/l NO3
Phosphate,09/11/20,0,mg PO4/L
Nitrate,09/11/20,195,mg/l NO3
Nitrate,13/11/20,40.9,mg/l NO3
Phosphate,13/11/20,0,mg PO4/L
Electrical_Conductivity_20degC,23/11/20,7780,µS/cm
Nitrate,23/11/20,226,mg/l NO3
Phosphate,23/11/20,0,mg PO4/L
Electrical_Conductivity_20degC,09/12/20,7880,µS/cm
Nitrate,09/12/20,224,mg/l NO3
Electrical_Conductivity_20degC,17/12/20,7494,µS/cm
Nitrate,17/12/20,189,mg/l NO3
Phosphate,17/12/20,0,mg PO4/L
Electrical_Conductivity_20degC,22/12/20,7250,µS/cm
Nitrate,22/12/20,179,mg/l NO3
Phosphate,22/12/20,0,mg PO4/L
Nitrate,05/01/21,199,mg/l NO3
Phosphate,05/01/21,0,mg PO4/L
Electrical_Conductivity_20degC,18/01/21,7240,µS/cm
Nitrate,18/01/21,203,mg/l NO3
Phosphate,18/01/21,0,mg PO4/L
Electrical_Conductivity_20degC,21/01/21,3069,µS/cm
Nitrate,21/01/21,190,mg/l NO3
Phosphate,21/01/21,0,mg PO4/L
Electrical_Conductivity_20degC,01/02/21,7210,µS/cm
Nitrate,01/02/21,192,mg/l NO3
Phosphate,01/02/21,0,mg PO4/L
Electrical_Conductivity_20degC,10/02/21,7269,µS/cm
Nitrate,10/02/21,252,mg/l NO3
Phosphate,10/02/21,0,mg PO4/L
Electrical_Conductivity_20degC,18/02/21,7440,µS/cm
Nitrate,18/02/21,197,mg/l NO3
Phosphate,18/02/21,0,mg PO4/L
Electrical_Conductivity_20degC,01/03/21,7090,µS/cm
Nitrate,01/03/21,184,mg/l NO3
Phosphate,01/03/21,0,mg PO4/L
Nitrate,09/03/21,23.5,mg/l NO3
Phosphate,09/03/21,0,mg PO4/L
Electrical_Conductivity_20degC,15/03/21,6810,µS/cm
Nitrate,15/03/21,187,mg/l NO3
Phosphate,15/03/21,0,mg PO4/L
Electrical_Conductivity_20degC,29/03/21,7260,µS/cm
Nitrate,29/03/21,258,mg/l NO3
Phosphate,29/03/21,0.08,mg PO4/L
Electrical_Conductivity_20degC,30/03/21,7410,µS/cm
Nitrate,30/03/21,212,mg/l NO3
Phosphate,30/03/21,0,mg PO4/L
Electrical_Conductivity_20degC,12/04/21,6490,µS/cm
Nitrate,12/04/21,146,mg/l NO3
Phosphate,12/04/21,0,mg PO4/L
Electrical_Conductivity_20degC,15/04/21,7400,µS/cm
Nitrate,15/04/21,52,mg/l NO3
Phosphate,15/04/21,0.1,mg PO4/L
Electrical_Conductivity_20degC,26/04/21,6530,µS/cm
Nitrate,26/04/21,158,mg/l NO3
Phosphate,26/04/21,0,mg PO4/L
Electrical_Conductivity_20degC,10/05/21,7120,µS/cm
Nitrate,10/05/21,176,mg/l NO3
Phosphate,10/05/21,0,mg PO4/L
Electrical_Conductivity_20degC,17/05/21,7300,µS/cm
Nitrate,17/05/21,194,mg/l NO3
Phosphate,17/05/21,0,mg PO4/L
Electrical_Conductivity_20degC,19/05/21,7050,µS/cm
Nitrate,19/05/21,96,mg/l NO3
Phosphate,19/05/21,0.1,mg PO4/L
Electrical_Conductivity_20degC,24/05/21,605,µS/cm
Nitrate,24/05/21,14.2,mg/l NO3
Phosphate,24/05/21,0.8,mg PO4/L
Electrical_Conductivity_20degC,01/06/21,7050,µS/cm
Nitrate,01/06/21,208,mg/l NO3
Phosphate,01/06/21,0.27,mg PO4/L
Electrical_Conductivity_20degC,07/06/21,7210,µS/cm
Nitrate,07/06/21,217,mg/l NO3
Phosphate,07/06/21,0,mg PO4/L
Electrical_Conductivity_20degC,05/07/21,6630,µS/cm
Nitrate,05/07/21,139,mg/l NO3
Phosphate,05/07/21,1.9,mg PO4/L
Electrical_Conductivity_20degC,10/08/21,7190,µS/cm
Nitrate,10/08/21,165,mg/l NO3
Phosphate,10/08/21,0,mg PO4/L
Nitrate,16/08/21,172,mg/l NO3
Phosphate,16/08/21,0,mg PO4/L
Electrical_Conductivity_20degC,18/08/21,6170,µS/cm
Nitrate,18/08/21,147,mg/l NO3
Phosphate,18/08/21,1.3,mg PO4/L
Electrical_Conductivity_20degC,13/09/21,7030,µS/cm
Nitrate,13/09/21,156,mg/l NO3
Phosphate,13/09/21,0,mg PO4/L
Nitrate,20/09/21,174,mg/l NO3
Electrical_Conductivity_20degC,21/09/21,572,µS/cm
Nitrate,21/09/21,25,mg/l NO3
Phosphate,21/09/21,0.58,mg PO4/L
Electrical_Conductivity_20degC,13/10/21,6830,µS/cm
Nitrate,13/10/21,171,mg/l NO3
Electrical_Conductivity_20degC,27/10/21,1860,µS/cm
Nitrate,27/10/21,27,mg/l NO3
Phosphate,27/10/21,0.54,mg PO4/L
Electrical_Conductivity_20degC,08/11/21,5720,µS/cm
Nitrate,08/11/21,139,mg/l NO3
Phosphate,08/11/21,1.35,mg PO4/L
Electrical_Conductivity_20degC,19/11/21,3060,µS/cm
Nitrate,19/11/21,58.2,mg/l NO3
Phosphate,19/11/21,0.8,mg PO4/L
Nitrate,21/11/21,14.4,mg/l NO3
Phosphate,21/11/21,0.92,mg PO4/L
Electrical_Conductivity_20degC,23/11/21,6390,µS/cm
Nitrate,23/11/21,282,mg/l NO3
Phosphate,23/11/21,0.3,mg PO4/L
Electrical_Conductivity_20degC,17/12/21,6650,µS/cm
Nitrate,17/12/21,166,mg/l NO3
Phosphate,17/12/21,0.57,mg PO4/L
Electrical_Conductivity_20degC,12/01/22,6747,µS/cm
Nitrate,12/01/22,332,mg/l NO3
Phosphate,12/01/22,0.47,mg PO4/L
Electrical_Conductivity_20degC,02/02/22,6526,µS/cm
Nitrate,02/02/22,184,mg/l NO3
Phosphate,02/02/22,0.46,mg PO4/L
Nitrate,10/02/22,247,mg/l NO3
Electrical_Conductivity_20degC,22/02/22,8580,µS/cm
Nitrate,22/02/22,234,mg/l NO3
Phosphate,22/02/22,0,mg PO4/L
Nitrate,04/03/22,217,mg/l NO3
Phosphate,04/03/22,0,mg PO4/L
Nitrate,07/03/22,51.7,mg/l NO3
Phosphate,07/03/22,0.7,mg PO4/L
Nitrate,17/03/22,31.7,mg/l NO3
Phosphate,17/03/22,1.2,mg PO4/L
Nitrate,21/03/22,132,mg/l NO3
Phosphate,21/03/22,0.58,mg PO4/L
Electrical_Conductivity_20degC,23/03/22,5407,µS/cm
Nitrate,23/03/22,127,mg/l NO3
Phosphate,23/03/22,0.56,mg PO4/L
Nitrate,23/03/22,86.2,mg/l NO3
Phosphate,23/03/22,1.13,mg PO4/L
Nitrate,25/03/22,98.8,mg/l NO3
Phosphate,25/03/22,0.98,mg PO4/L
Nitrate,30/03/22,102,mg/l NO3
Phosphate,30/03/22,0.95,mg PO4/L
Nitrate,04/04/22,119,mg/l NO3
Phosphate,04/04/22,1.01,mg PO4/L
Nitrate,05/04/22,95.8,mg/l NO3
Phosphate,05/04/22,1.01,mg PO4/L
Electrical_Conductivity_20degC,06/04/22,2134,µS/cm
Nitrate,06/04/22,50.3,mg/l NO3
Phosphate,06/04/22,0.91,mg PO4/L
Electrical_Conductivity_20degC,07/04/22,5050,µS/cm
Nitrate,07/04/22,114,mg/l NO3
Phosphate,07/04/22,0.86,mg PO4/L
Electrical_Conductivity_20degC,11/04/22,5990,µS/cm
Nitrate,11/04/22,120,mg/l NO3
Phosphate,11/04/22,0.74,mg PO4/L
Electrical_Conductivity_20degC,13/04/22,6070,µS/cm
Nitrate,13/04/22,90.6,mg/l NO3
Phosphate,13/04/22,1.04,mg PO4/L
Electrical_Conductivity_20degC,18/04/22,6290,µS/cm
Nitrate,18/04/22,113,mg/l NO3
Phosphate,18/04/22,1.04,mg PO4/L
Electrical_Conductivity_20degC,20/04/22,6240,µS/cm
Nitrate,20/04/22,112,mg/l NO3
Phosphate,20/04/22,1,mg PO4/L
Nitrate,20/04/22,94.1,mg/l NO3
Phosphate,20/04/22,1,mg PO4/L
Electrical_Conductivity_20degC,25/04/22,6070,µS/cm
Nitrate,25/04/22,107,mg/l NO3
Phosphate,25/04/22,1,mg PO4/L
Electrical_Conductivity_20degC,27/04/22,6240,µS/cm
Nitrate,27/04/22,117,mg/l NO3
Phosphate,27/04/22,1,mg PO4/L
Nitrate,28/04/22,106,mg/l NO3
Phosphate,28/04/22,1,mg PO4/L
Electrical_Conductivity_20degC,03/05/22,5970,µS/cm
Nitrate,03/05/22,103,mg/l NO3
Phosphate,03/05/22,1.1,mg PO4/L
Electrical_Conductivity_20degC,06/05/22,5290,µS/cm
Nitrate,06/05/22,58.2,mg/l NO3
Phosphate,06/05/22,1.1,mg PO4/L
Electrical_Conductivity_20degC,09/05/22,5880,µS/cm
Nitrate,09/05/22,96.4,mg/l NO3
Phosphate,09/05/22,1.1,mg PO4/L
Electrical_Conductivity_20degC,11/05/22,6080,µS/cm
Nitrate,11/05/22,98.8,mg/l NO3
Phosphate,11/05/22,1.2,mg PO4/L
Electrical_Conductivity_20degC,16/05/22,6040,µS/cm
Nitrate,16/05/22,97.6,mg/l NO3
Phosphate,16/05/22,0.7,mg PO4/L
Electrical_Conductivity_20degC,18/05/22,6360,µS/cm
Nitrate,18/05/22,131,mg/l NO3
Phosphate,18/05/22,0.7,mg PO4/L
Electrical_Conductivity_20degC,23/05/22,6400,µS/cm
Nitrate,23/05/22,146,mg/l NO3
Phosphate,23/05/22,0.8,mg PO4/L
Electrical_Conductivity_20degC,25/05/22,6500,µS/cm
Nitrate,25/05/22,154,mg/l NO3
Phosphate,25/05/22,0.7,mg PO4/L
Electrical_Conductivity_20degC,26/05/22,7041,µS/cm
Nitrate,26/05/22,145.1,mg/l NO3
Phosphate,26/05/22,0.51,mg PO4/L
Electrical_Conductivity_20degC,30/05/22,6300,µS/cm
Nitrate,30/05/22,140,mg/l NO3
Phosphate,30/05/22,0.9,mg PO4/L
Electrical_Conductivity_20degC,01/06/22,6400,µS/cm
Nitrate,01/06/22,146,mg/l NO3
Phosphate,01/06/22,0.8,mg PO4/L
Electrical_Conductivity_20degC,03/06/22,6980,µS/cm
Nitrate,03/06/22,168,mg/l NO3
Phosphate,03/06/22,0,mg PO4/L
Electrical_Conductivity_20degC,06/06/22,6530,µS/cm
Nitrate,06/06/22,156,mg/l NO3
Phosphate,06/06/22,0.9,mg PO4/L
Electrical_Conductivity_20degC,08/06/22,6470,µS/cm
Nitrate,08/06/22,140,mg/l NO3
Phosphate,08/06/22,0.8,mg PO4/L
Electrical_Conductivity_20degC,13/06/22,6340,µS/cm
Nitrate,13/06/22,135,mg/l NO3
Phosphate,13/06/22,0.9,mg PO4/L
Electrical_Conductivity_20degC,15/06/22,6420,µS/cm
Nitrate,15/06/22,135,mg/l NO3
Phosphate,15/06/22,0.9,mg PO4/L
Electrical_Conductivity_20degC,20/06/22,6320,µS/cm
Nitrate,20/06/22,138,mg/l NO3
Phosphate,20/06/22,1.6,mg PO4/L
Electrical_Conductivity_20degC,22/06/22,6350,µS/cm
Nitrate,22/06/22,141,mg/l NO3
Phosphate,22/06/22,1.7,mg PO4/L
Electrical_Conductivity_20degC,27/06/22,6240,µS/cm
Nitrate,27/06/22,127,mg/l NO3
Phosphate,27/06/22,1.4,mg PO4/L
Electrical_Conductivity_20degC,27/06/22,6160,µS/cm
Nitrate,27/06/22,129.9,mg/l NO3
Phosphate,27/06/22,1.1,mg PO4/L
Electrical_Conductivity_20degC,29/06/22,6280,µS/cm
Nitrate,29/06/22,123,mg/l NO3
Phosphate,29/06/22,1.2,mg PO4/L
Electrical_Conductivity_20degC,04/07/22,5960,µS/cm
Nitrate,04/07/22,81.8,mg/l NO3
Phosphate,04/07/22,1.9,mg PO4/L
Electrical_Conductivity_20degC,05/07/22,4120,µS/cm
Nitrate,05/07/22,94.7,mg/l NO3
Phosphate,05/07/22,0,mg PO4/L
Electrical_Conductivity_20degC,11/07/22,6110,µS/cm
Nitrate,11/07/22,66.8,mg/l NO3
Phosphate,11/07/22,2.9,mg PO4/L
Electrical_Conductivity_20degC,13/07/22,5930,µS/cm
Nitrate,13/07/22,71.2,mg/l NO3
Nitrate,13/07/22,88,mg/l NO3
Phosphate,13/07/22,0,mg PO4/L
Phosphate,13/07/22,1.9,mg PO4/L
Electrical_Conductivity_20degC,18/07/22,6720,µS/cm
Nitrate,18/07/22,141,mg/l NO3
Phosphate,18/07/22,0.5,mg PO4/L
Electrical_Conductivity_20degC,20/07/22,6230,µS/cm
Nitrate,20/07/22,117.7,mg/l NO3
Phosphate,20/07/22,0,mg PO4/L
Electrical_Conductivity_20degC,25/07/22,6910,µS/cm
Nitrate,25/07/22,156,mg/l NO3
Phosphate,25/07/22,0.5,mg PO4/L
Electrical_Conductivity_20degC,27/07/22,5820,µS/cm
Nitrate,27/07/22,112.3,mg/l NO3
Phosphate,27/07/22,0.39,mg PO4/L
Electrical_Conductivity_20degC,01/08/22,5571,µS/cm
Nitrate,01/08/22,47.9,mg/l NO3
Phosphate,01/08/22,0,mg PO4/L
Electrical_Conductivity_20degC,02/08/22,6340,µS/cm
Nitrate,02/08/22,118,mg/l NO3
Phosphate,02/08/22,0.4,mg PO4/L
Electrical_Conductivity_20degC,08/08/22,6470,µS/cm
Nitrate,08/08/22,136,mg/l NO3
Phosphate,08/08/22,0.4,mg PO4/L
Electrical_Conductivity_20degC,08/08/22,6050,µS/cm
Nitrate,08/08/22,134,mg/l NO3
Phosphate,08/08/22,0,mg PO4/L
Electrical_Conductivity_20degC,16/08/22,6240,µS/cm
Nitrate,16/08/22,125,mg/l NO3
Phosphate,16/08/22,0.4,mg PO4/L
Electrical_Conductivity_20degC,16/08/22,6080,µS/cm
Nitrate,16/08/22,123.1,mg/l NO3
Phosphate,16/08/22,0,mg PO4/L
Electrical_Conductivity_20degC,22/08/22,6210,µS/cm
Nitrate,22/08/22,133,mg/l NO3
Phosphate,22/08/22,0,mg PO4/L
Electrical_Conductivity_20degC,24/08/22,6050,µS/cm
Nitrate,24/08/22,107.9,mg/l NO3
Phosphate,24/08/22,0,mg PO4/L
Electrical_Conductivity_20degC,29/08/22,5860,µS/cm
Nitrate,29/08/22,123,mg/l NO3
Phosphate,29/08/22,0.5,mg PO4/L
Electrical_Conductivity_20degC,05/09/22,6010,µS/cm
Nitrate,05/09/22,122,mg/l NO3
Phosphate,05/09/22,0.4,mg PO4/L
Electrical_Conductivity_20degC,08/09/22,6311,µS/cm
Nitrate,08/09/22,127.4,mg/l NO3
Phosphate,08/09/22,0,mg PO4/L
Electrical_Conductivity_20degC,12/09/22,5920,µS/cm
Nitrate,12/09/22,121,mg/l NO3
Phosphate,12/09/22,0.4,mg PO4/L
Electrical_Conductivity_20degC,13/09/22,5820,µS/cm
Nitrate,13/09/22,108.8,mg/l NO3
Phosphate,13/09/22,0,mg PO4/L
Electrical_Conductivity_20degC,19/09/22,6490,µS/cm
Nitrate,19/09/22,144,mg/l NO3
Phosphate,19/09/22,0,mg PO4/L
Electrical_Conductivity_20degC,22/09/22,6050,µS/cm
Nitrate,22/09/22,117.8,mg/l NO3
Phosphate,22/09/22,0,mg PO4/L
Nitrate,26/09/22,24.4,mg/l NO3
Phosphate,26/09/22,1.2,mg PO4/L
Electrical_Conductivity_20degC,26/09/22,1000,µS/cm
Nitrate,26/09/22,26.5,mg/l NO3
Phosphate,26/09/22,1.3,mg PO4/L
Electrical_Conductivity_20degC,26/09/22,1160,µS/cm
Nitrate,26/09/22,26.1,mg/l NO3
Phosphate,26/09/22,1.3,mg PO4/L
Electrical_Conductivity_20degC,27/09/22,2520,µS/cm
Nitrate,27/09/22,115,mg/l NO3
Phosphate,27/09/22,1.9,mg PO4/L
Electrical_Conductivity_20degC,28/09/22,5810,µS/cm
Nitrate,28/09/22,171.2,mg/l NO3
Phosphate,28/09/22,0,mg PO4/L
Electrical_Conductivity_20degC,03/10/22,6400,µS/cm
Nitrate,03/10/22,181,mg/l NO3
Phosphate,03/10/22,0.4,mg PO4/L
Nitrate,06/10/22,60.7,mg/l NO3
Phosphate,06/10/22,0.7,mg PO4/L
Electrical_Conductivity_20degC,07/10/22,4551,µS/cm
Nitrate,07/10/22,120,mg/l NO3
Phosphate,07/10/22,1.8,mg PO4/L
Electrical_Conductivity_20degC,07/10/22,4180,µS/cm
Nitrate,07/10/22,135.7,mg/l NO3
Phosphate,07/10/22,0.08,mg PO4/L
Electrical_Conductivity_20degC,10/10/22,6260,µS/cm
Nitrate,10/10/22,197,mg/l NO3
Phosphate,10/10/22,0.5,mg PO4/L
Electrical_Conductivity_20degC,10/10/22,6290,µS/cm
Nitrate,10/10/22,206.5,mg/l NO3
Phosphate,10/10/22,0.2,mg PO4/L
Nitrate,11/10/22,28.6,mg/l NO3
Phosphate,11/10/22,0.7,mg PO4/L
Electrical_Conductivity_20degC,17/10/22,6580,µS/cm
Nitrate,17/10/22,197,mg/l NO3
Phosphate,17/10/22,0.4,mg PO4/L
Electrical_Conductivity_20degC,21/10/22,6610,µS/cm
Nitrate,21/10/22,168,mg/l NO3
Phosphate,21/10/22,0.07,mg PO4/L
Electrical_Conductivity_20degC,24/10/22,6270,µS/cm
Nitrate,24/10/22,170,mg/l NO3
Phosphate,24/10/22,0.5,mg PO4/L
Electrical_Conductivity_20degC,26/10/22,6360,µS/cm
Nitrate,26/10/22,154.4,mg/l NO3
Phosphate,26/10/22,0.38,mg PO4/L
Electrical_Conductivity_20degC,31/10/22,6320,µS/cm
Nitrate,31/10/22,149,mg/l NO3
Phosphate,31/10/22,0.6,mg PO4/L
Electrical_Conductivity_20degC,03/11/22,6320,µS/cm
Nitrate,03/11/22,80.4,mg/l NO3
Phosphate,03/11/22,0.59,mg PO4/L
Electrical_Conductivity_20degC,07/11/22,6420,µS/cm
Nitrate,07/11/22,164,mg/l NO3
Phosphate,07/11/22,0.6,mg PO4/L
Electrical_Conductivity_20degC,09/11/22,5880,µS/cm
Nitrate,09/11/22,161.8,mg/l NO3
Phosphate,09/11/22,0.43,mg PO4/L
Nitrate,11/11/22,138,mg/l NO3
Phosphate,11/11/22,0.5,mg PO4/L
Electrical_Conductivity_20degC,14/11/22,5880,µS/cm
Nitrate,14/11/22,121,mg/l NO3
Phosphate,14/11/22,0.4,mg PO4/L
Electrical_Conductivity_20degC,16/11/22,5630,µS/cm
Nitrate,16/11/22,130.8,mg/l NO3
Phosphate,16/11/22,0.41,mg PO4/L
Electrical_Conductivity_20degC,21/11/22,6140,µS/cm
Nitrate,21/11/22,123,mg/l NO3
Phosphate,21/11/22,0.6,mg PO4/L
Electrical_Conductivity_20degC,25/11/22,6283,µS/cm
Nitrate,25/11/22,117.8,mg/l NO3
Phosphate,25/11/22,0.51,mg PO4/L
Electrical_Conductivity_20degC,28/11/22,6190,µS/cm
Nitrate,28/11/22,140,mg/l NO3
Phosphate,28/11/22,0.5,mg PO4/L
Nitrate,02/12/22,92,mg/l NO3
Phosphate,02/12/22,0.8,mg PO4/L
Electrical_Conductivity_20degC,05/12/22,6540,µS/cm
Nitrate,05/12/22,172,mg/l NO3
Phosphate,05/12/22,0,mg PO4/L
Electrical_Conductivity_20degC,05/12/22,5970,µS/cm
Phosphate,05/12/22,0.3,mg PO4/L
Electrical_Conductivity_20degC,12/12/22,6340,µS/cm
Nitrate,12/12/22,164,mg/l NO3
Phosphate,12/12/22,0.5,mg PO4/L
Electrical_Conductivity_20degC,13/12/22,5820,µS/cm
Nitrate,13/12/22,155.1,mg/l NO3
Phosphate,13/12/22,0.42,mg PO4/L
Electrical_Conductivity_20degC,19/12/22,6340,µS/cm
Nitrate,19/12/22,164,mg/l NO3
Phosphate,19/12/22,0.4,mg PO4/L
Electrical_Conductivity_20degC,22/12/22,5650,µS/cm
Nitrate,22/12/22,153.6,mg/l NO3
Phosphate,22/12/22,0.57,mg PO4/L
Electrical_Conductivity_20degC,27/12/22,6510,µS/cm
Nitrate,27/12/22,160,mg/l NO3
Phosphate,27/12/22,0.4,mg PO4/L
Electrical_Conductivity_20degC,28/12/22,5700,µS/cm
Nitrate,28/12/22,183.4,mg/l NO3
Phosphate,28/12/22,0.38,mg PO4/L
Electrical_Conductivity_20degC,03/01/23,6950,µS/cm
Nitrate,03/01/23,200,mg/l NO3
Phosphate,03/01/23,0,mg PO4/L
Electrical_Conductivity_20degC,09/01/23,5870,µS/cm
Nitrate,09/01/23,112,mg/l NO3
Phosphate,09/01/23,0.7,mg PO4/L
Electrical_Conductivity_20degC,13/01/23,6701,µS/cm
Nitrate,13/01/23,142,mg/l NO3
Phosphate,13/01/23,0.6,mg PO4/L
Electrical_Conductivity_20degC,16/01/23,6610,µS/cm
Nitrate,16/01/23,178,mg/l NO3
Phosphate,16/01/23,0.4,mg PO4/L
Electrical_Conductivity_20degC,16/01/23,6210,µS/cm
Nitrate,16/01/23,174,mg/l NO3
Phosphate,16/01/23,0.4,mg PO4/L
Nitrate,23/01/23,199,mg/l NO3
Phosphate,23/01/23,0,mg PO4/L
Nitrate,24/01/23,177,mg/l NO3
Phosphate,24/01/23,0,mg PO4/L
Electrical_Conductivity_20degC,27/01/23,5600,µS/cm
Nitrate,27/01/23,136,mg/l NO3
Phosphate,27/01/23,0.5,mg PO4/L
Electrical_Conductivity_20degC,30/01/23,6020,µS/cm
Nitrate,30/01/23,132,mg/l NO3
Phosphate,30/01/23,0.6,mg PO4/L
Electrical_Conductivity_20degC,30/01/23,5590,µS/cm
Nitrate,30/01/23,140,mg/l NO3
Phosphate,30/01/23,0.6,mg PO4/L
Electrical_Conductivity_20degC,06/02/23,6570,µS/cm
Nitrate,06/02/23,169,mg/l NO3
Nitrate,06/02/23,189,mg/l NO3
Phosphate,06/02/23,0,mg PO4/L
Phosphate,06/02/23,0.15,mg PO4/L
Electrical_Conductivity_20degC,13/02/23,6140,µS/cm
Nitrate,13/02/23,136,mg/l NO3
Phosphate,13/02/23,0.5,mg PO4/L
Electrical_Conductivity_20degC,20/02/23,5810,µS/cm
Nitrate,20/02/23,132,mg/l NO3
Phosphate,20/02/23,0,mg PO4/L
Electrical_Conductivity_20degC,27/02/23,6780,µS/cm
Nitrate,27/02/23,177,mg/l NO3
Phosphate,27/02/23,0,mg PO4/L
Electrical_Conductivity_20degC,06/03/23,5680,µS/cm
Nitrate,06/03/23,145,mg/l NO3
Phosphate,06/03/23,0.23,mg PO4/L
Electrical_Conductivity_20degC,13/03/23,6810,µS/cm
Nitrate,13/03/23,170,mg/l NO3
Phosphate,13/03/23,0,mg PO4/L
Electrical_Conductivity_20degC,20/03/23,5790,µS/cm
Nitrate,20/03/23,127,mg/l NO3
Phosphate,20/03/23,0,mg PO4/L
Electrical_Conductivity_20degC,27/03/23,7020,µS/cm
Nitrate,27/03/23,176,mg/l NO3
Phosphate,27/03/23,0,mg PO4/L
Electrical_Conductivity_20degC,05/04/23,5720,µS/cm
Nitrate,05/04/23,107,mg/l NO3
Phosphate,05/04/23,0.13,mg PO4/L
Electrical_Conductivity_20degC,10/04/23,6040,µS/cm
Nitrate,10/04/23,117,mg/l NO3
Phosphate,10/04/23,0,mg PO4/L
Electrical_Conductivity_20degC,17/04/23,6290,µS/cm
Nitrate,17/04/23,149,mg/l NO3
Phosphate,17/04/23,0,mg PO4/L
Electrical_Conductivity_20degC,25/04/23,6990,µS/cm
Nitrate,25/04/23,153,mg/l NO3
Phosphate,25/04/23,0,mg PO4/L
Electrical_Conductivity_20degC,03/05/23,6630,µS/cm
Nitrate,03/05/23,142,mg/l NO3
Phosphate,03/05/23,0,mg PO4/L
Electrical_Conductivity_20degC,11/05/23,6710,µS/cm
Nitrate,11/05/23,150,mg/l NO3
Phosphate,11/05/23,0,mg PO4/L
Electrical_Conductivity_20degC,17/05/23,5760,µS/cm
Nitrate,17/05/23,116,mg/l NO3
Phosphate,17/05/23,0,mg PO4/L
Electrical_Conductivity_20degC,19/05/23,6896,µS/cm
Nitrate,19/05/23,117,mg/l NO3
Phosphate,19/05/23,0.58,mg PO4/l
Nitrate,19/05/23,130,mg/l NO3
Phosphate,19/05/23,0.43,mg PO4/L
Nitrate,23/05/23,44.4,mg/l NO3
Phosphate,23/05/23,0.4,mg PO4/L
Electrical_Conductivity_20degC,23/05/23,4945,µS/cm
Nitrate,23/05/23,57.1,mg/l NO3
Phosphate,23/05/23,0.49,mg PO4/l
Electrical_Conductivity_20degC,23/05/23,1791,µS/cm
Nitrate,23/05/23,23.1,mg/l NO3
Phosphate,23/05/23,0,mg PO4/l
Electrical_Conductivity_20degC,24/05/23,1849,µS/cm
Nitrate,24/05/23,37.5,mg/l NO3
Phosphate,24/05/23,0.77,mg PO4/L
Nitrate,31/05/23,18.2,mg/l NO3
Phosphate,31/05/23,0.74,mg PO4/L
Electrical_Conductivity_20degC,31/05/23,940,µS/cm
Nitrate,31/05/23,17.1,mg/l NO3
Phosphate,31/05/23,1,mg PO4/l
Electrical_Conductivity_20degC,01/06/23,3523,µS/cm
Nitrate,01/06/23,69.2,mg/l NO3
Phosphate,01/06/23,0.61,mg PO4/l
Electrical_Conductivity_20degC,01/06/23,2816,µS/cm
Nitrate,01/06/23,55.1,mg/l NO3
Phosphate,01/06/23,0.7,mg PO4/l
Electrical_Conductivity_20degC,03/06/23,6757,µS/cm
Nitrate,03/06/23,125,mg/l NO3
Phosphate,03/06/23,1.3,mg PO4/l
Electrical_Conductivity_20degC,05/06/23,6300,µS/cm
Nitrate,05/06/23,142,mg/l NO3
Phosphate,05/06/23,0,mg PO4/L
Electrical_Conductivity_20degC,12/06/23,6950,µS/cm
Nitrate,12/06/23,155,mg/l NO3
Phosphate,12/06/23,0,mg PO4/L
Electrical_Conductivity_20degC,14/06/23,7060,µS/cm
Nitrate,14/06/23,119,mg/l NO3
Phosphate,14/06/23,0,mg PO4/l
Nitrate,14/06/23,112,mg/l NO3
Phosphate,14/06/23,0,mg PO4/l
Electrical_Conductivity_20degC,20/06/23,5230,µS/cm
Nitrate,20/06/23,116,mg/l NO3
Phosphate,20/06/23,0,mg PO4/L
Electrical_Conductivity_20degC,26/06/23,5720,µS/cm
Nitrate,26/06/23,97,mg/l NO3
Phosphate,26/06/23,0,mg PO4/L
Electrical_Conductivity_20degC,05/07/23,6030,µS/cm
Nitrate,05/07/23,102,mg/l NO3
Phosphate,05/07/23,0.74,mg PO4/L
Electrical_Conductivity_20degC,10/07/23,6620,µS/cm
Nitrate,10/07/23,136,mg/l NO3
Phosphate,10/07/23,0.43,mg PO4/L
