Parameter;Date;Unit;Value
Conductivity_20C;15/04/2021;µS/cm;7400
Nitrate;15/04/2021;mg/L;52
Phosphate;15/04/2021;mg/L;0.1
Conductivity_20C;26/04/2021;µS/cm;6530
Nitrate;26/04/2021;mg/L;158
Phosphate;26/04/2021;mg/L;0
Conductivity_20C;10/05/2021;µS/cm;7120
Nitrate;10/05/2021;mg/L;176
Phosphate;10/05/2021;mg/L;0
Conductivity_20C;17/05/2021;µS/cm;7300
Nitrate;17/05/2021;mg/L;194
Phosphate;17/05/2021;mg/L;0
Conductivity_20C;19/05/2021;µS/cm;7050
Nitrate;19/05/2021;mg/L;96
Phosphate;19/05/2021;mg/L;0.1
Conductivity_20C;01/06/2021;µS/cm;7050
Nitrate;01/06/2021;mg/L;208
Phosphate;01/06/2021;mg/L;0.27
Conductivity_20C;07/06/2021;µS/cm;7210
Nitrate;07/06/2021;mg/L;217
Phosphate;07/06/2021;mg/L;0
Conductivity_20C;05/07/2021;µS/cm;6630
Nitrate;05/07/2021;mg/L;139
Phosphate;05/07/2021;mg/L;1.9
Conductivity_20C;10/08/2021;µS/cm;7190
Nitrate;10/08/2021;mg/L;165
Phosphate;10/08/2021;mg/L;0
Nitrate;16/08/2021;mg/L;172
Phosphate;16/08/2021;mg/L;0
Conductivity_20C;18/08/2021;µS/cm;6170
Nitrate;18/08/2021;mg/L;147
Phosphate;18/08/2021;mg/L;1.3
Conductivity_20C;13/09/2021;µS/cm;7030
Nitrate;13/09/2021;mg/L;156
Phosphate;13/09/2021;mg/L;0
Nitrate;20/09/2021;mg/L;174
Conductivity_20C;21/09/2021;µS/cm;572
Nitrate;21/09/2021;mg/L;25
Phosphate;21/09/2021;mg/L;0.58
Conductivity_20C;13/10/2021;µS/cm;6830
Nitrate;13/10/2021;mg/L;171
Conductivity_20C;27/10/2021;µS/cm;1860
Nitrate;27/10/2021;mg/L;27
Phosphate;27/10/2021;mg/L;0.54
Conductivity_20C;08/11/2021;µS/cm;5720
Nitrate;08/11/2021;mg/L;139
Phosphate;08/11/2021;mg/L;1.35
Conductivity_20C;19/11/2021;µS/cm;3060
Nitrate;19/11/2021;mg/L;58.2
Phosphate;19/11/2021;mg/L;0.8
Nitrate;21/11/2021;mg/L;14.4
Phosphate;21/11/2021;mg/L;0.92
Conductivity_20C;23/11/2021;µS/cm;6390
Nitrate;23/11/2021;mg/L;282
Phosphate;23/11/2021;mg/L;0.3
Conductivity_20C;17/12/2021;µS/cm;6650
Nitrate;17/12/2021;mg/L;166
Phosphate;17/12/2021;mg/L;0.57
Conductivity_20C;12/01/2022;µS/cm;6747
Nitrate;12/01/2022;mg/L;332
Phosphate;12/01/2022;mg/L;0.47
Conductivity_20C;02/02/2022;µS/cm;6526
Nitrate;02/02/2022;mg/L;184
Phosphate;02/02/2022;mg/L;0.46
Nitrate;10/02/2022;mg/L;247
Conductivity_20C;22/02/2022;µS/cm;8580
Nitrate;22/02/2022;mg/L;234
Phosphate;22/02/2022;mg/L;0
Nitrate;04/03/2022;mg/L;217
Phosphate;04/03/2022;mg/L;0
Nitrate;07/03/2022;mg/L;51.7
Phosphate;07/03/2022;mg/L;0.7
Nitrate;17/03/2022;mg/L;31.7
Phosphate;17/03/2022;mg/L;1.2
Nitrate;21/03/2022;mg/L;132
Phosphate;21/03/2022;mg/L;0.58
Conductivity_20C;23/03/2022;µS/cm;5407
Nitrate;23/03/2022;mg/L;127
Phosphate;23/03/2022;mg/L;0.56
Nitrate;23/03/2022;mg/L;86.2
Phosphate;23/03/2022;mg/L;1.13
Nitrate;25/03/2022;mg/L;98.8
Phosphate;25/03/2022;mg/L;0.98
Nitrate;30/03/2022;mg/L;102
Phosphate;30/03/2022;mg/L;0.95
Nitrate;04/04/2022;mg/L;119
Phosphate;04/04/2022;mg/L;1.01
Nitrate;05/04/2022;mg/L;95.8
Phosphate;05/04/2022;mg/L;1.01
Conductivity_20C;06/04/2022;µS/cm;2134
Nitrate;06/04/2022;mg/L;50.3
Phosphate;06/04/2022;mg/L;0.91
Conductivity_20C;07/04/2022;µS/cm;5050
Nitrate;07/04/2022;mg/L;114
Phosphate;07/04/2022;mg/L;0.86
Conductivity_20C;11/04/2022;µS/cm;5990
Nitrate;11/04/2022;mg/L;120
Phosphate;11/04/2022;mg/L;0.74
Conductivity_20C;13/04/2022;µS/cm;6070
Nitrate;13/04/2022;mg/L;90.6
Phosphate;13/04/2022;mg/L;1.04
Conductivity_20C;18/04/2022;µS/cm;6290
Nitrate;18/04/2022;mg/L;113
Phosphate;18/04/2022;mg/L;1.04
Conductivity_20C;20/04/2022;µS/cm;6240
Nitrate;20/04/2022;mg/L;112
Phosphate;20/04/2022;mg/L;1
Nitrate;20/04/2022;mg/L;94.1
Phosphate;20/04/2022;mg/L;1
Conductivity_20C;25/04/2022;µS/cm;6070
Nitrate;25/04/2022;mg/L;107
Phosphate;25/04/2022;mg/L;1
Conductivity_20C;27/04/2022;µS/cm;6240
Nitrate;27/04/2022;mg/L;117
Phosphate;27/04/2022;mg/L;1
Nitrate;28/04/2022;mg/L;106
Phosphate;28/04/2022;mg/L;1
Conductivity_20C;03/05/2022;µS/cm;5970
Nitrate;03/05/2022;mg/L;103
Phosphate;03/05/2022;mg/L;1.1
Conductivity_20C;06/05/2022;µS/cm;5290
Nitrate;06/05/2022;mg/L;58.2
Phosphate;06/05/2022;mg/L;1.1
Conductivity_20C;09/05/2022;µS/cm;5880
Nitrate;09/05/2022;mg/L;96.4
Phosphate;09/05/2022;mg/L;1.1
Conductivity_20C;11/05/2022;µS/cm;6080
Nitrate;11/05/2022;mg/L;98.8
Phosphate;11/05/2022;mg/L;1.2
Conductivity_20C;16/05/2022;µS/cm;6040
Nitrate;16/05/2022;mg/L;97.6
Phosphate;16/05/2022;mg/L;0.7
Conductivity_20C;18/05/2022;µS/cm;6360
Nitrate;18/05/2022;mg/L;131
Phosphate;18/05/2022;mg/L;0.7
Conductivity_20C;23/05/2022;µS/cm;6400
Nitrate;23/05/2022;mg/L;146
Phosphate;23/05/2022;mg/L;0.8
Conductivity_20C;25/05/2022;µS/cm;6500
Nitrate;25/05/2022;mg/L;154
Phosphate;25/05/2022;mg/L;0.7
Conductivity_20C;26/05/2022;µS/cm;7041
Nitrate;26/05/2022;mg/L;145.1
Phosphate;26/05/2022;mg/L;0.51
Conductivity_20C;30/05/2022;µS/cm;6300
Nitrate;30/05/2022;mg/L;140
Phosphate;30/05/2022;mg/L;0.9
Conductivity_20C;01/06/2022;µS/cm;6400
Nitrate;01/06/2022;mg/L;146
Phosphate;01/06/2022;mg/L;0.8
Conductivity_20C;03/06/2022;µS/cm;6980
Nitrate;03/06/2022;mg/L;168
Phosphate;03/06/2022;mg/L;0
Conductivity_20C;06/06/2022;µS/cm;6530
Nitrate;06/06/2022;mg/L;156
Phosphate;06/06/2022;mg/L;0.9
Conductivity_20C;08/06/2022;µS/cm;6470
Nitrate;08/06/2022;mg/L;140
Phosphate;08/06/2022;mg/L;0.8
Conductivity_20C;13/06/2022;µS/cm;6340
Nitrate;13/06/2022;mg/L;135
Phosphate;13/06/2022;mg/L;0.9
Conductivity_20C;15/06/2022;µS/cm;6420
Nitrate;15/06/2022;mg/L;135
Phosphate;15/06/2022;mg/L;0.9
Conductivity_20C;20/06/2022;µS/cm;6320
Nitrate;20/06/2022;mg/L;138
Phosphate;20/06/2022;mg/L;1.6
Conductivity_20C;22/06/2022;µS/cm;6350
Nitrate;22/06/2022;mg/L;141
Phosphate;22/06/2022;mg/L;1.7
Conductivity_20C;27/06/2022;µS/cm;6240
Nitrate;27/06/2022;mg/L;127
Phosphate;27/06/2022;mg/L;1.4
Conductivity_20C;27/06/2022;µS/cm;6160
Nitrate;27/06/2022;mg/L;129.9
Phosphate;27/06/2022;mg/L;1.1
Conductivity_20C;29/06/2022;µS/cm;6280
Nitrate;29/06/2022;mg/L;123
Phosphate;29/06/2022;mg/L;1.2
Conductivity_20C;04/07/2022;µS/cm;5960
Nitrate;04/07/2022;mg/L;81.8
Phosphate;04/07/2022;mg/L;1.9
Conductivity_20C;05/07/2022;µS/cm;4120
Nitrate;05/07/2022;mg/L;94.7
Phosphate;05/07/2022;mg/L;0
Conductivity_20C;11/07/2022;µS/cm;6110
Nitrate;11/07/2022;mg/L;66.8
Phosphate;11/07/2022;mg/L;2.9
Conductivity_20C;13/07/2022;µS/cm;5930
Nitrate;13/07/2022;mg/L;71.2
Nitrate;13/07/2022;mg/L;88
Phosphate;13/07/2022;mg/L;0
Phosphate;13/07/2022;mg/L;1.9
Conductivity_20C;18/07/2022;µS/cm;6720
Nitrate;18/07/2022;mg/L;141
Phosphate;18/07/2022;mg/L;0.5
Conductivity_20C;20/07/2022;µS/cm;6230
Nitrate;20/07/2022;mg/L;117.7
Phosphate;20/07/2022;mg/L;0
Conductivity_20C;25/07/2022;µS/cm;6910
Nitrate;25/07/2022;mg/L;156
Phosphate;25/07/2022;mg/L;0.5
Conductivity_20C;27/07/2022;µS/cm;5820
Nitrate;27/07/2022;mg/L;112.3
Phosphate;27/07/2022;mg/L;0.39
Conductivity_20C;01/08/2022;µS/cm;5571
Nitrate;01/08/2022;mg/L;47.9
Phosphate;01/08/2022;mg/L;0
Conductivity_20C;02/08/2022;µS/cm;6340
Nitrate;02/08/2022;mg/L;118
Phosphate;02/08/2022;mg/L;0.4
Conductivity_20C;08/08/2022;µS/cm;6470
Nitrate;08/08/2022;mg/L;136
Phosphate;08/08/2022;mg/L;0.4
Conductivity_20C;08/08/2022;µS/cm;6050
Nitrate;08/08/2022;mg/L;134
Phosphate;08/08/2022;mg/L;0
Conductivity_20C;16/08/2022;µS/cm;6240
Nitrate;16/08/2022;mg/L;125
Phosphate;16/08/2022;mg/L;0.4
Conductivity_20C;16/08/2022;µS/cm;6080
Nitrate;16/08/2022;mg/L;123.1
Phosphate;16/08/2022;mg/L;0
Conductivity_20C;22/08/2022;µS/cm;6210
Nitrate;22/08/2022;mg/L;133
Phosphate;22/08/2022;mg/L;0
Conductivity_20C;24/08/2022;µS/cm;6050
Nitrate;24/08/2022;mg/L;107.9
Phosphate;24/08/2022;mg/L;0
Conductivity_20C;29/08/2022;µS/cm;5860
Nitrate;29/08/2022;mg/L;123
Phosphate;29/08/2022;mg/L;0.5
Conductivity_20C;05/09/2022;µS/cm;6010
Nitrate;05/09/2022;mg/L;122
Phosphate;05/09/2022;mg/L;0.4
Conductivity_20C;08/09/2022;µS/cm;6311
Nitrate;08/09/2022;mg/L;127.4
Phosphate;08/09/2022;mg/L;0
Conductivity_20C;12/09/2022;µS/cm;5920
Nitrate;12/09/2022;mg/L;121
Phosphate;12/09/2022;mg/L;0.4
Conductivity_20C;13/09/2022;µS/cm;5820
Nitrate;13/09/2022;mg/L;108.8
Phosphate;13/09/2022;mg/L;0
Conductivity_20C;19/09/2022;µS/cm;6490
Nitrate;19/09/2022;mg/L;144
Phosphate;19/09/2022;mg/L;0
Conductivity_20C;22/09/2022;µS/cm;6050
Nitrate;22/09/2022;mg/L;117.8
Phosphate;22/09/2022;mg/L;0
Nitrate;26/09/2022;mg/L;24.4
Phosphate;26/09/2022;mg/L;1.2
Conductivity_20C;26/09/2022;µS/cm;1000
Nitrate;26/09/2022;mg/L;26.5
Phosphate;26/09/2022;mg/L;1.3
Conductivity_20C;26/09/2022;µS/cm;1160
Nitrate;26/09/2022;mg/L;26.1
Phosphate;26/09/2022;mg/L;1.3
Conductivity_20C;27/09/2022;µS/cm;2520
Nitrate;27/09/2022;mg/L;115
Phosphate;27/09/2022;mg/L;1.9
Conductivity_20C;28/09/2022;µS/cm;5810
Nitrate;28/09/2022;mg/L;171.2
Phosphate;28/09/2022;mg/L;0
Conductivity_20C;03/10/2022;µS/cm;6400
Nitrate;03/10/2022;mg/L;181
Phosphate;03/10/2022;mg/L;0.4
Nitrate;06/10/2022;mg/L;60.7
Phosphate;06/10/2022;mg/L;0.7
Conductivity_20C;07/10/2022;µS/cm;4551
Nitrate;07/10/2022;mg/L;120
Phosphate;07/10/2022;mg/L;1.8
Conductivity_20C;07/10/2022;µS/cm;4180
Nitrate;07/10/2022;mg/L;135.7
Phosphate;07/10/2022;mg/L;0.08
Conductivity_20C;10/10/2022;µS/cm;6260
Nitrate;10/10/2022;mg/L;197
Phosphate;10/10/2022;mg/L;0.5
Conductivity_20C;10/10/2022;µS/cm;6290
Nitrate;10/10/2022;mg/L;206.5
Phosphate;10/10/2022;mg/L;0.2
Nitrate;11/10/2022;mg/L;28.6
Phosphate;11/10/2022;mg/L;0.7
Conductivity_20C;17/10/2022;µS/cm;6580
Nitrate;17/10/2022;mg/L;197
Phosphate;17/10/2022;mg/L;0.4
Conductivity_20C;21/10/2022;µS/cm;6610
Nitrate;21/10/2022;mg/L;168
Phosphate;21/10/2022;mg/L;0.07
Conductivity_20C;24/10/2022;µS/cm;6270
Nitrate;24/10/2022;mg/L;170
Phosphate;24/10/2022;mg/L;0.5
Conductivity_20C;26/10/2022;µS/cm;6360
Nitrate;26/10/2022;mg/L;154.4
Phosphate;26/10/2022;mg/L;0.38
Conductivity_20C;31/10/2022;µS/cm;6320
Nitrate;31/10/2022;mg/L;149
Phosphate;31/10/2022;mg/L;0.6
Conductivity_20C;03/11/2022;µS/cm;6320
Nitrate;03/11/2022;mg/L;80.4
Phosphate;03/11/2022;mg/L;0.59
Conductivity_20C;07/11/2022;µS/cm;6420
Nitrate;07/11/2022;mg/L;164
Phosphate;07/11/2022;mg/L;0.6
Conductivity_20C;09/11/2022;µS/cm;5880
Nitrate;09/11/2022;mg/L;161.8
Phosphate;09/11/2022;mg/L;0.43
Nitrate;11/11/2022;mg/L;138
Phosphate;11/11/2022;mg/L;0.5
Conductivity_20C;14/11/2022;µS/cm;5880
Nitrate;14/11/2022;mg/L;121
Phosphate;14/11/2022;mg/L;0.4
Conductivity_20C;16/11/2022;µS/cm;5630
Nitrate;16/11/2022;mg/L;130.8
Phosphate;16/11/2022;mg/L;0.41
Conductivity_20C;21/11/2022;µS/cm;6140
Nitrate;21/11/2022;mg/L;123
Phosphate;21/11/2022;mg/L;0.6
Conductivity_20C;25/11/2022;µS/cm;6283
Nitrate;25/11/2022;mg/L;117.8
Phosphate;25/11/2022;mg/L;0.51
Conductivity_20C;28/11/2022;µS/cm;6190
Nitrate;28/11/2022;mg/L;140
Phosphate;28/11/2022;mg/L;0.5
Nitrate;02/12/2022;mg/L;92
Phosphate;02/12/2022;mg/L;0.8
Conductivity_20C;05/12/2022;µS/cm;6540
Nitrate;05/12/2022;mg/L;172
Phosphate;05/12/2022;mg/L;0
Conductivity_20C;05/12/2022;µS/cm;5970
Phosphate;05/12/2022;mg/L;0.3
Conductivity_20C;12/12/2022;µS/cm;6340
Nitrate;12/12/2022;mg/L;164
Phosphate;12/12/2022;mg/L;0.5
Conductivity_20C;13/12/2022;µS/cm;5820
Nitrate;13/12/2022;mg/L;155.1
Phosphate;13/12/2022;mg/L;0.42
Conductivity_20C;19/12/2022;µS/cm;6340
Nitrate;19/12/2022;mg/L;164
Phosphate;19/12/2022;mg/L;0.4
Conductivity_20C;22/12/2022;µS/cm;5650
Nitrate;22/12/2022;mg/L;153.6
Phosphate;22/12/2022;mg/L;0.57
Conductivity_20C;27/12/2022;µS/cm;6510
Nitrate;27/12/2022;mg/L;160
Phosphate;27/12/2022;mg/L;0.4
Conductivity_20C;28/12/2022;µS/cm;5700
Nitrate;28/12/2022;mg/L;183.4
Phosphate;28/12/2022;mg/L;0.38
Conductivity_20C;03/01/2023;µS/cm;6950
Nitrate;03/01/2023;mg/L;200
Phosphate;03/01/2023;mg/L;0
Conductivity_20C;09/01/2023;µS/cm;5870
Nitrate;09/01/2023;mg/L;112
Phosphate;09/01/2023;mg/L;0.7
Conductivity_20C;13/01/2023;µS/cm;6701
Nitrate;13/01/2023;mg/L;142
Phosphate;13/01/2023;mg/L;0.6
Conductivity_20C;16/01/2023;µS/cm;6610
Nitrate;16/01/2023;mg/L;178
Phosphate;16/01/2023;mg/L;0.4
Conductivity_20C;16/01/2023;µS/cm;6210
Nitrate;16/01/2023;mg/L;174
Phosphate;16/01/2023;mg/L;0.4
Nitrate;23/01/2023;mg/L;199
Phosphate;23/01/2023;mg/L;0
Nitrate;24/01/2023;mg/L;177
Phosphate;24/01/2023;mg/L;0
Conductivity_20C;27/01/2023;µS/cm;5600
Nitrate;27/01/2023;mg/L;136
Phosphate;27/01/2023;mg/L;0.5
Conductivity_20C;30/01/2023;µS/cm;6020
Nitrate;30/01/2023;mg/L;132
Phosphate;30/01/2023;mg/L;0.6
Conductivity_20C;30/01/2023;µS/cm;5590
Nitrate;30/01/2023;mg/L;140
Phosphate;30/01/2023;mg/L;0.6
Conductivity_20C;06/02/2023;µS/cm;6570
Nitrate;06/02/2023;mg/L;169
Nitrate;06/02/2023;mg/L;189
Phosphate;06/02/2023;mg/L;0
Phosphate;06/02/2023;mg/L;0.15
Conductivity_20C;13/02/2023;µS/cm;6140
Nitrate;13/02/2023;mg/L;136
Phosphate;13/02/2023;mg/L;0.5
Conductivity_20C;20/02/2023;µS/cm;5810
Nitrate;20/02/2023;mg/L;132
Phosphate;20/02/2023;mg/L;0
Conductivity_20C;27/02/2023;µS/cm;6780
Nitrate;27/02/2023;mg/L;177
Phosphate;27/02/2023;mg/L;0
Conductivity_20C;06/03/2023;µS/cm;5680
Nitrate;06/03/2023;mg/L;145
Phosphate;06/03/2023;mg/L;0.23
Conductivity_20C;13/03/2023;µS/cm;6810
Nitrate;13/03/2023;mg/L;170
Phosphate;13/03/2023;mg/L;0
Conductivity_20C;20/03/2023;µS/cm;5790
Nitrate;20/03/2023;mg/L;127
Phosphate;20/03/2023;mg/L;0
Conductivity_20C;27/03/2023;µS/cm;7020
Nitrate;27/03/2023;mg/L;176
Phosphate;27/03/2023;mg/L;0
Conductivity_20C;05/04/2023;µS/cm;5720
Nitrate;05/04/2023;mg/L;107
Phosphate;05/04/2023;mg/L;0.13
Conductivity_20C;10/04/2023;µS/cm;6040
Nitrate;10/04/2023;mg/L;117
Phosphate;10/04/2023;mg/L;0
Conductivity_20C;17/04/2023;µS/cm;6290
Nitrate;17/04/2023;mg/L;149
Phosphate;17/04/2023;mg/L;0
Conductivity_20C;25/04/2023;µS/cm;6990
Nitrate;25/04/2023;mg/L;153
Phosphate;25/04/2023;mg/L;0
Conductivity_20C;03/05/2023;µS/cm;6630
Nitrate;03/05/2023;mg/L;142
Phosphate;03/05/2023;mg/L;0
Conductivity_20C;11/05/2023;µS/cm;6710
Nitrate;11/05/2023;mg/L;150
Phosphate;11/05/2023;mg/L;0
Conductivity_20C;17/05/2023;µS/cm;5760
Nitrate;17/05/2023;mg/L;116
Phosphate;17/05/2023;mg/L;0
Conductivity_20C;19/05/2023;µS/cm;6896
Nitrate;19/05/2023;mg/L;117
Phosphate;19/05/2023;mg/L;0.58
Nitrate;19/05/2023;mg/L;130
Phosphate;19/05/2023;mg/L;0.43
Nitrate;23/05/2023;mg/L;44.4
Phosphate;23/05/2023;mg/L;0.4
Conductivity_20C;23/05/2023;µS/cm;4945
Nitrate;23/05/2023;mg/L;57.1
Phosphate;23/05/2023;mg/L;0.49
Conductivity_20C;23/05/2023;µS/cm;1791
Nitrate;23/05/2023;mg/L;23.1
Phosphate;23/05/2023;mg/L;0
Conductivity_20C;24/05/2023;µS/cm;1849
Nitrate;24/05/2023;mg/L;37.5
Phosphate;24/05/2023;mg/L;0.77
Nitrate;31/05/2023;mg/L;18.2
Phosphate;31/05/2023;mg/L;0.74
Conductivity_20C;31/05/2023;µS/cm;940
Nitrate;31/05/2023;mg/L;17.1
Phosphate;31/05/2023;mg/L;1
Conductivity_20C;01/06/2023;µS/cm;3523
Nitrate;01/06/2023;mg/L;69.2
Phosphate;01/06/2023;mg/L;0.61
Conductivity_20C;01/06/2023;µS/cm;2816
Nitrate;01/06/2023;mg/L;55.1
Phosphate;01/06/2023;mg/L;0.7
Conductivity_20C;03/06/2023;µS/cm;6757
Nitrate;03/06/2023;mg/L;125
Phosphate;03/06/2023;mg/L;1.3
Conductivity_20C;05/06/2023;µS/cm;6300
Nitrate;05/06/2023;mg/L;142
Phosphate;05/06/2023;mg/L;0
Conductivity_20C;12/06/2023;µS/cm;6950
Nitrate;12/06/2023;mg/L;155
Phosphate;12/06/2023;mg/L;0
Conductivity_20C;14/06/2023;µS/cm;7060
Nitrate;14/06/2023;mg/L;119
Phosphate;14/06/2023;mg/L;0
Nitrate;14/06/2023;mg/L;112
Phosphate;14/06/2023;mg/L;0
Conductivity_20C;20/06/2023;µS/cm;5230
Nitrate;20/06/2023;mg/L;116
Phosphate;20/06/2023;mg/L;0
Conductivity_20C;26/06/2023;µS/cm;5720
Nitrate;26/06/2023;mg/L;97
Phosphate;26/06/2023;mg/L;0
Conductivity_20C;05/07/2023;µS/cm;6030
Nitrate;05/07/2023;mg/L;102
Phosphate;05/07/2023;mg/L;0.74
Conductivity_20C;10/07/2023;µS/cm;6620
Nitrate;10/07/2023;mg/L;136
Phosphate;10/07/2023;mg/L;0.43
Conductivity_20C;17/07/2023;µS/cm;5440
Nitrate;17/07/2023;mg/L;104
Phosphate;17/07/2023;mg/L;0.64
Conductivity_20C;27/07/2023;µS/cm;5710
Nitrate;27/07/2023;mg/L;115
Phosphate;27/07/2023;mg/L;0.54
Conductivity_20C;01/08/2023;µS/cm;5650
Nitrate;01/08/2023;mg/L;103
Phosphate;01/08/2023;mg/L;0.58
Conductivity_20C;07/08/2023;µS/cm;5420
Nitrate;07/08/2023;mg/L;93
Phosphate;07/08/2023;mg/L;0.55
Conductivity_20C;17/08/2023;µS/cm;6080
Nitrate;17/08/2023;mg/L;120
Phosphate;17/08/2023;mg/L;0.49
Conductivity_20C;21/08/2023;µS/cm;6640
Nitrate;21/08/2023;mg/L;142
Phosphate;21/08/2023;mg/L;0.46
Conductivity_20C;03/09/2023;µS/cm;6697
Nitrate;03/09/2023;mg/L;95.8
Phosphate;03/09/2023;mg/L;0.8
Conductivity_20C;03/09/2023;µS/cm;5926
Nitrate;03/09/2023;mg/L;91
Phosphate;03/09/2023;mg/L;0.67
Conductivity_20C;03/09/2023;µS/cm;6145
Nitrate;03/09/2023;mg/L;95.2
Phosphate;03/09/2023;mg/L;0.7
Conductivity_20C;04/09/2023;µS/cm;4340
Nitrate;04/09/2023;mg/L;51
Phosphate;04/09/2023;mg/L;0.43
Conductivity_20C;13/09/2023;µS/cm;5850
Nitrate;13/09/2023;mg/L;108
Phosphate;13/09/2023;mg/L;0
Conductivity_20C;20/09/2023;µS/cm;5700
Nitrate;20/09/2023;mg/L;86
Phosphate;20/09/2023;mg/L;0
Conductivity_20C;27/09/2023;µS/cm;6110
Nitrate;27/09/2023;mg/L;122
Phosphate;27/09/2023;mg/L;0
Conductivity_20C;02/10/2023;µS/cm;6970
Nitrate;02/10/2023;mg/L;159
Phosphate;02/10/2023;mg/L;0
Conductivity_20C;09/10/2023;µS/cm;6650
Nitrate;09/10/2023;mg/L;144
Phosphate;09/10/2023;mg/L;0
Conductivity_20C;18/10/2023;µS/cm;5830
Nitrate;18/10/2023;mg/L;114
Phosphate;18/10/2023;mg/L;0
Conductivity_20C;26/10/2023;µS/cm;6030
Nitrate;26/10/2023;mg/L;122
Phosphate;26/10/2023;mg/L;0
Nitrate;08/11/2023;mg/L;89
Phosphate;08/11/2023;mg/L;0.43
Conductivity_20C;08/11/2023;µS/cm;5160
Conductivity_20C;13/11/2023;µS/cm a 20 ºC;5580
Nitrate;13/11/2023;mg/L;112
Phosphate;13/11/2023;mg/L;0
Conductivity_20C;23/11/2023;µS/cm;6670
Nitrate;23/11/2023;mg/L;151
Phosphate;23/11/2023;mg/L;0
Conductivity_20C;27/11/2023;µS/cm a 20 ºC;6050
Nitrate;27/11/2023;mg/L;128
Phosphate;27/11/2023;mg/L;0
Conductivity_20C;04/12/2023;µS/cm;6240
Nitrate;04/12/2023;mg/L;139
Phosphate;04/12/2023;mg/L;0
Conductivity_20C;13/12/2023;µS/cm;5320
Nitrate;13/12/2023;mg/L;101
Phosphate;13/12/2023;mg/L;0
Conductivity_20C;19/12/2023;µS/cm;5200
Nitrate;19/12/2023;mg/L;102
Phosphate;19/12/2023;mg/L;0.49
Conductivity_20C;26/12/2023;µS/cm;6410
Nitrate;26/12/2023;mg/L;153
Phosphate;26/12/2023;mg/L;0
Conductivity_20C;04/01/2024;µS/cm;5580
Nitrate;04/01/2024;mg/L;113
Phosphate;04/01/2024;mg/L;0
Conductivity_20C;10/01/2024;µS/cm;5420
Nitrate;10/01/2024;mg/L;103
Phosphate;10/01/2024;mg/L;0
Conductivity_20C;17/01/2024;µS/cm;5470
Nitrate;17/01/2024;mg NO3/l;106
Phosphate;17/01/2024;mg/l PO4;0.61
Conductivity_20C;23/01/2024;µS/cm;6890
Nitrate;23/01/2024;mg NO3/l;167
Phosphate;23/01/2024;mg/l PO4;0
Conductivity_20C;05/02/2024;µS/cm;6250
Nitrate;05/02/2024;mg NO3/l;141
Phosphate;05/02/2024;mg/l PO4;0.46
Conductivity_20C;12/02/2024;µS/cm;5970
Nitrate;12/02/2024;mg NO3/l;132
Phosphate;12/02/2024;mg/l PO4;0.68
Conductivity_20C;21/02/2024;µS/cm;6580
Nitrate;21/02/2024;mg NO3/l;147
Phosphate;21/02/2024;mg/l PO4;0.43
Nitrate;27/02/2024;mg NO3/l;136
Phosphate;27/02/2024;mg/l PO4;0
Conductivity_20C;04/03/2024;µS/cm;6400
Nitrate;04/03/2024;mg NO3/l;142
Phosphate;04/03/2024;mg/l PO4;0
Conductivity_20C;12/03/2024;µS/cm;5760
Nitrate;12/03/2024;mg NO3/l;118
Phosphate;12/03/2024;mg/l PO4;0.49
Conductivity_20C;18/03/2024;µS/cm;6320
Nitrate;18/03/2024;mg NO3/l;155
Conductivity_20C;03/04/2024;µS/cm;5430
Nitrate;03/04/2024;mg NO3/l;99
Conductivity_20C;09/04/2024;µS/cm;6090
Nitrate;09/04/2024;mg NO3/l;132
Nitrate;18/04/2024;mg NO3/l;108
Nitrate;25/04/2024;mg NO3/l;112
Nitrate;02/05/2024;mg NO3/l;80
Nitrate;09/05/2024;mg NO3/l;66
Nitrate;14/05/2024;mg NO3/l;91
Conductivity_20C;30/05/2024;µS/cm;5470
Nitrate;30/05/2024;mg NO3/l;94
Phosphate;30/05/2024;mg/l PO4;0.61
Conductivity_20C;12/06/2024;µS/cm;5785
Nitrate;12/06/2024;mg NO3/l;73.1
Phosphate;12/06/2024;mg/L;0.86
Conductivity_20C;12/06/2024;µS/cm;5504
Nitrate;12/06/2024;mg NO3/l;63.7
Phosphate;12/06/2024;mg/L;1.1
Conductivity_20C;12/06/2024;µS/cm;5307
Nitrate;12/06/2024;mg NO3/l;47
Phosphate;12/06/2024;mg/L;1.1
Conductivity_20C;13/06/2024;µS/cm;1074
Nitrate;13/06/2024;mg NO3/l;22.4
Phosphate;13/06/2024;mg/l PO4;0.89
Conductivity_20C;13/06/2024;µS/cm;1767
Nitrate;13/06/2024;mg NO3/l;28.9
Phosphate;13/06/2024;mg/L;2.4
Conductivity_20C;17/06/2024;µS/cm;5500
Nitrate;17/06/2024;mg/L;119
Phosphate;17/06/2024;mg/L;0.47
Conductivity_20C;20/06/2024;µS/cm;6100
Nitrate;20/06/2024;mg NO3/l;134
Phosphate;20/06/2024;mg/l PO4;0.49
Conductivity_20C;26/06/2024;µS/cm;6110
Nitrate;26/06/2024;mg NO3/l;125
Phosphate;26/06/2024;mg/l PO4;0
Conductivity_20C;04/07/2024;µS/cm;5730
Nitrate;04/07/2024;mg NO3/l;100
Phosphate;04/07/2024;mg/l PO4;0.52
Conductivity_20C;09/07/2024;µS/cm;6380
Nitrate;09/07/2024;mg/L;119
